"code","mean_GDP_per_capita","mean_inequality","Long Name","Income Group","Region","Lending category","Other groups","Currency Unit","Latest population census","Latest household survey","Special Notes","National accounts base year","National accounts reference year","System of National Accounts","SNA price valuation","PPP survey years","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","2-alpha code","WB-2 code","Table Name","Short Name"
"ROU",0.0671999242974678,0.253947368421053,"Romania","High income","Europe & Central Asia","IBRD",NA,"New Romanian leu","2011","Romania Reproductive Health Survey, 2004","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1987-1992. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Original chained constant price data are rescaled.",2005,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6",NA,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Income survey (IS), 2016","Yes","2010",2013,2018,"RO","RO","Romania","Romania"
"RUS",0.0724751290584379,0.336666666666667,"Russian Federation","High income","Europe & Central Asia","IBRD",NA,"Russian ruble","2020 (expected)","Russian Federation Reproductive Health Survey, 2011",NA,"Original chained constant price data are rescaled.",2016,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","2021, Rolling surveys (annual estimation) until 2018","BPM6","Estimate","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2017","Yes","2016",2014,2018,"RU","RU","Russian Federation","Russia"
"SRB",0.0432251392253142,0.296541353383459,"Republic of Serbia","Upper middle income","Europe & Central Asia","IBRD",NA,"New Serbian dinar","2011","Multiple Indicator Cluster Survey, 2019","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised.","Original chained constant price data are rescaled.",2015,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","Expenditure survey/budget survey (ES/BS), 2016","Yes","2012",2014,2018,"RS","YF","Serbia","Serbia"
"SVK",0.118060759538299,0.114066985645933,"Slovak Republic","High income","Europe & Central Asia",NA,"Euro area","Euro","2011","World Health Survey, 2003","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.",2015,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6",NA,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Income survey (IS), 2015","Yes","2010",2013,2018,"SK","SK","Slovak Republic","Slovak Republic"
"SVN",0.162610167564107,0.11609022556391,"Republic of Slovenia","High income","Europe & Central Asia",NA,"Euro area","Euro","2018. Population figures compiled from administrative registers.","World Health Survey, 2003","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.",2015,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6",NA,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Income survey (IS), 2015","Yes","2010",2013,2018,"SI","SI","Slovenia","Slovenia"
"SWE",0.385537824033626,0.14502024291498,"Kingdom of Sweden","High income","Europe & Central Asia",NA,NA,"Swedish krona","2011. Population figures compiled from administrative registers.",NA,"Fiscal year end: June 30; reporting period for national accounts data: CY.","Original chained constant price data are rescaled.",2015,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6",NA,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Income survey (IS), 2015","Yes","2010",2014,2018,"SE","SE","Sweden","Sweden"
"URY",0.126596088369913,0.43,"Oriental Republic of Uruguay","High income","Latin America & Caribbean","IBRD",NA,"Uruguayan peso","2011","Multiple Indicator Cluster Survey, 2012/13",NA,"2016",NA,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","2021, 2017, 2011","BPM6",NA,"Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2017","Yes","2011",2011,2018,"UY","UY","Uruguay","Uruguay"
"USA",0.352836355211059,0.343379501385042,"United States of America","High income","North America",NA,NA,"U.S. dollar","2020 (expected)",NA,NA,"Original chained constant price data are rescaled.",2015,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6",NA,"General trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Labor force survey (LFS), 2016","Yes","2012",2011,2018,"US","US","United States","United States"
"VNM",0.0113412352796612,0.394526315789474,"Socialist Republic of Viet Nam","Lower middle income","East Asia & Pacific","IBRD",NA,"Vietnamese dong","2019","Multiple Indicator Cluster Survey, 2020/21",NA,"2010",NA,"Country uses the 1993 System of National Accounts methodology","Value added at basic prices (VAB)","2021, 2017, 2011","BPM6","Actual","General trade system",NA,"Enhanced General Data Dissemination System (e-GDDS)","Integrated household survey (IHS), 2016","Yes","2016",2013,2017,"VN","VN","Viet Nam","Viet Nam"
"ZAF",0.0489296102595192,0.941894736842105,"Republic of South Africa","Upper middle income","Sub-Saharan Africa","IBRD",NA,"South African rand","2011","Demographic and Health Survey, 2016","Fiscal year end: March 31; reporting period for national accounts data: CY.","2015",NA,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","2021, 2017, 2011","BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2014/15",NA,"2007",2010,2018,"ZA","ZA","South Africa","South Africa"
